epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.919,1.5895,1.80457,1.18295,0.67778,0.18764,0.18527,0.10244,1.51271,1.17612,1.14894,0.000302647,0.000302647,0.000302647
2,362.399,1.5203,1.30034,1.16792,0.59049,0.20811,0.21034,0.11548,1.48186,1.12581,1.12472,0.000593655,0.000593655,0.000593655
3,529.082,1.50478,1.20613,1.16576,0.30522,0.24418,0.22945,0.12418,1.45371,1.05012,1.12691,0.000872664,0.000872664,0.000872664
4,697.814,1.48696,1.15084,1.15689,0.26797,0.28135,0.22735,0.12191,1.43896,1.02627,1.11799,0.000855005,0.000855005,0.000855005
5,865.571,1.46078,1.10276,1.14208,0.579,0.23084,0.23663,0.12762,1.46848,1.0341,1.12148,0.000837007,0.000837007,0.000837007
6,1031.63,1.445,1.07503,1.13844,0.3298,0.2856,0.25938,0.14372,1.4206,0.97546,1.10172,0.000819009,0.000819009,0.000819009
7,1197.67,1.43472,1.05572,1.13076,0.36917,0.2907,0.27508,0.15006,1.40065,0.96042,1.09313,0.000801011,0.000801011,0.000801011
8,1367.79,1.42265,1.03208,1.12411,0.47773,0.26288,0.2706,0.14701,1.39019,0.95519,1.09009,0.000783013,0.000783013,0.000783013
9,1581.82,1.40352,1.01542,1.11896,0.38297,0.29303,0.28941,0.15947,1.38454,0.94124,1.08625,0.000765014,0.000765014,0.000765014
10,1797.2,1.39603,1.00006,1.11302,0.35296,0.31835,0.29483,0.16392,1.36708,0.92172,1.081,0.000747016,0.000747016,0.000747016
11,2013.57,1.39204,0.99404,1.11042,0.38264,0.31795,0.30815,0.17021,1.3713,0.91135,1.07664,0.000729018,0.000729018,0.000729018
12,2227.52,1.3937,0.99125,1.10936,0.41166,0.3494,0.32243,0.17367,1.36135,0.90391,1.07576,0.00071102,0.00071102,0.00071102
13,2392.46,1.3785,0.97093,1.10522,0.53561,0.29607,0.31057,0.17336,1.35624,0.89072,1.06715,0.000693022,0.000693022,0.000693022
14,2556.27,1.37958,0.96445,1.10565,0.40229,0.34877,0.32281,0.17409,1.35524,0.89537,1.07091,0.000675023,0.000675023,0.000675023
15,2738.39,1.36487,0.95078,1.09442,0.46962,0.34431,0.34638,0.19182,1.34417,0.87402,1.06189,0.000657025,0.000657025,0.000657025
16,2914.18,1.35578,0.94224,1.09462,0.41499,0.34322,0.33004,0.17941,1.34057,0.87179,1.05925,0.000639027,0.000639027,0.000639027
17,3076.3,1.35654,0.93631,1.0919,0.44292,0.36864,0.34458,0.19043,1.33477,0.86717,1.05584,0.000621029,0.000621029,0.000621029
18,3238.35,1.34945,0.93136,1.08877,0.44251,0.35632,0.35292,0.1976,1.32743,0.85879,1.05672,0.000603031,0.000603031,0.000603031
19,3452.33,1.35222,0.92773,1.08819,0.46386,0.35737,0.35457,0.19584,1.32739,0.85175,1.05908,0.000585032,0.000585032,0.000585032
20,3669.97,1.34373,0.9126,1.08575,0.47506,0.37119,0.36527,0.20166,1.3229,0.84827,1.05692,0.000567034,0.000567034,0.000567034
21,3865.11,1.33589,0.91922,1.08694,0.49841,0.34388,0.36166,0.20446,1.32585,0.85052,1.05515,0.000549036,0.000549036,0.000549036
22,4070.94,1.33626,0.91293,1.08417,0.4888,0.36233,0.36655,0.20403,1.31846,0.83982,1.0554,0.000531038,0.000531038,0.000531038
23,4238.11,1.33641,0.90465,1.08257,0.45325,0.34632,0.35908,0.2054,1.3139,0.84315,1.05366,0.00051304,0.00051304,0.00051304
